,"Tag, Score",Count
340,"Row(_1='pandas', _2=32)",1
341,"Row(_1='in-place', _2=32)",1
342,"Row(_1='custom-post-type', _2=-1)",1
343,"Row(_1='csv', _2=0)",80
344,"Row(_1='codeigniter', _2=0)",24
345,"Row(_1='visual-studio-code', _2=-3)",1
346,"Row(_1='fonts', _2=-3)",1
347,"Row(_1='reactjs', _2=2)",60
348,"Row(_1='react-router-dom', _2=2)",8
349,"Row(_1='plsql', _2=0)",31
350,"Row(_1='oracle-sqldeveloper', _2=0)",15
351,"Row(_1='css', _2=0)",408
352,"Row(_1='styled-components', _2=0)",9
353,"Row(_1='asp.net-identity', _2=0)",6
354,"Row(_1='identityserver4', _2=0)",10
355,"Row(_1='hash', _2=1)",5
356,"Row(_1='ada', _2=1)",2
357,"Row(_1='gnat', _2=1)",1
358,"Row(_1='qml', _2=0)",13
359,"Row(_1='pyside6', _2=0)",3
360,"Row(_1='amazon-cognito', _2=0)",11
361,"Row(_1='aws-amplify', _2=0)",10
362,"Row(_1='aws-serverless', _2=0)",2
363,"Row(_1='refresh-token', _2=0)",3
364,"Row(_1='ruby-on-rails', _2=0)",70
365,"Row(_1='ruby', _2=0)",45
366,"Row(_1='.net-core', _2=1)",14
367,"Row(_1='palantir-foundry', _2=1)",6
368,"Row(_1='foundry-code-repositories', _2=1)",4
369,"Row(_1='image', _2=0)",55
370,"Row(_1='plotly', _2=0)",33
371,"Row(_1='aws-lambda', _2=0)",58
372,"Row(_1='amazon-cloudformation', _2=0)",16
373,"Row(_1='autowired', _2=0)",2
374,"Row(_1='websocket', _2=1)",8
375,"Row(_1='socket.io', _2=1)",5
376,"Row(_1='ruby-on-rails', _2=1)",24
377,"Row(_1='None', _2=-2)",68
378,"Row(_1='dplyr', _2=0)",36
379,"Row(_1='webassembly', _2=0)",9
380,"Row(_1='angular', _2=0)",331
381,"Row(_1='ngx-gallery', _2=0)",1
382,"Row(_1='javascript', _2=-5)",6
383,"Row(_1='gitlab', _2=0)",51
384,"Row(_1='cicd', _2=0)",12
385,"Row(_1='google-apps-script', _2=-1)",8
386,"Row(_1='google-sheets', _2=-1)",9
387,"Row(_1='google-sheets-formula', _2=-1)",5
388,"Row(_1='google-sheets-api', _2=-1)",1
389,"Row(_1='disruptor-pattern', _2=0)",2
390,"Row(_1='lmax', _2=0)",1
391,"Row(_1='url', _2=0)",23
392,"Row(_1='android-edittext', _2=0)",3
393,"Row(_1='miniconda', _2=0)",2
394,"Row(_1='mvvm', _2=0)",11
395,"Row(_1='avaloniaui', _2=0)",5
396,"Row(_1='common-lisp', _2=1)",5
397,"Row(_1='cl-who', _2=1)",1
398,"Row(_1='join', _2=0)",15
399,"Row(_1='amazon-redshift', _2=0)",20
400,"Row(_1='export-to-csv', _2=0)",7
401,"Row(_1='javascript', _2=-1)",133
402,"Row(_1='html', _2=-1)",71
403,"Row(_1='button', _2=-1)",2
404,"Row(_1='naivebayes', _2=0)",1
405,"Row(_1='dtype', _2=0)",1
406,"Row(_1='numpy-ufunc', _2=0)",1
407,"Row(_1='discord-jda', _2=0)",3
408,"Row(_1='group-by', _2=0)",20
409,"Row(_1='sql', _2=-1)",60
410,"Row(_1='sqlite', _2=-1)",9
411,"Row(_1='recursion', _2=-1)",5
412,"Row(_1='recursive-query', _2=-1)",1
413,"Row(_1='github', _2=0)",61
414,"Row(_1='sqlalchemy', _2=0)",38
415,"Row(_1='odbc', _2=0)",11
416,"Row(_1='pyodbc', _2=0)",3
417,"Row(_1='ruby', _2=1)",14
418,"Row(_1='windows', _2=1)",20
419,"Row(_1='azure', _2=0)",183
420,"Row(_1='azure-ad-b2c-custom-policy', _2=0)",6
421,"Row(_1='testing', _2=0)",54
422,"Row(_1='automation', _2=0)",50
423,"Row(_1='automated-tests', _2=0)",15
424,"Row(_1='e2e-testing', _2=0)",3
425,"Row(_1='testcafe', _2=0)",1
426,"Row(_1='ios', _2=0)",184
427,"Row(_1='mobile-website', _2=0)",1
428,"Row(_1='clip-path', _2=0)",2
429,"Row(_1='html-table', _2=0)",14
430,"Row(_1='datepicker', _2=1)",3
431,"Row(_1='admin', _2=0)",1
432,"Row(_1='multi-tenant', _2=0)",4
433,"Row(_1='python', _2=-2)",96
434,"Row(_1='regex', _2=-2)",7
435,"Row(_1='apache-flink', _2=0)",17
436,"Row(_1='scipy', _2=0)",14
437,"Row(_1='angularjs', _2=0)",15
438,"Row(_1='angular13', _2=0)",4
439,"Row(_1='hammerspoon', _2=1)",1
440,"Row(_1='mozilla', _2=1)",1
441,"Row(_1='geckodriver', _2=1)",2
442,"Row(_1='react-hooks', _2=0)",62
443,"Row(_1='draggable', _2=0)",6
444,"Row(_1='azure-devops', _2=0)",77
445,"Row(_1='azure-pipelines', _2=0)",36
446,"Row(_1='timezone', _2=0)",6
447,"Row(_1='timezone-offset', _2=0)",2
448,"Row(_1='makefile', _2=0)",16
449,"Row(_1='oracle', _2=0)",121
450,"Row(_1='recursion', _2=0)",36
451,"Row(_1='subquery', _2=0)",9
452,"Row(_1='android', _2=2)",32
453,"Row(_1='android-studio', _2=2)",5
454,"Row(_1='kotlin', _2=2)",19
455,"Row(_1='bluetooth', _2=2)",1
456,"Row(_1='rest', _2=0)",57
457,"Row(_1='sabre', _2=0)",3
458,"Row(_1='ms-access-2010', _2=1)",1
459,"Row(_1='ms-access-2013', _2=1)",1
460,"Row(_1='java', _2=-1)",76
461,"Row(_1='android', _2=-1)",25
462,"Row(_1='android-tablayout', _2=-1)",1
463,"Row(_1='asbio', _2=0)",1
464,"Row(_1='verilog', _2=1)",3
465,"Row(_1='tomcat', _2=0)",14
466,"Row(_1='systemd', _2=0)",6
467,"Row(_1='catalina', _2=0)",1
468,"Row(_1='datetime', _2=1)",25
469,"Row(_1='jquery', _2=-1)",17
470,"Row(_1='push', _2=-1)",2
471,"Row(_1='add', _2=-1)",2
472,"Row(_1='scikit-learn', _2=0)",29
473,"Row(_1='xgboost', _2=0)",5
474,"Row(_1='encoder', _2=0)",2
475,"Row(_1='asp.net-mvc', _2=0)",59
476,"Row(_1='jstree', _2=0)",1
477,"Row(_1='list', _2=1)",35
478,"Row(_1='integer', _2=1)",4
479,"Row(_1='compare', _2=1)",2
480,"Row(_1='python-3.x', _2=2)",19
481,"Row(_1='c', _2=-1)",36
482,"Row(_1='function', _2=-1)",13
483,"Row(_1='css', _2=-1)",53
484,"Row(_1='c++', _2=6)",3
485,"Row(_1='pandas', _2=2)",61
486,"Row(_1='genetics', _2=0)",1
487,"Row(_1='gwas', _2=0)",1
488,"Row(_1='graphql', _2=0)",46
489,"Row(_1='rack-cors', _2=0)",1
490,"Row(_1='data-transform', _2=0)",2
491,"Row(_1='zeromq', _2=0)",3
492,"Row(_1='jetson-xavier', _2=0)",3
493,"Row(_1='powershell', _2=0)",121
494,"Row(_1='active-directory', _2=0)",10
495,"Row(_1='next.js', _2=0)",72
496,"Row(_1='smartgwt', _2=0)",1
497,"Row(_1='lzma', _2=0)",1
498,"Row(_1='apache', _2=0)",39
499,"Row(_1='ssl', _2=0)",45
500,"Row(_1='https', _2=0)",25
501,"Row(_1='mod-wsgi', _2=0)",2
502,"Row(_1='azure-functions', _2=2)",2
503,"Row(_1='karate', _2=2)",1
504,"Row(_1='go', _2=2)",7
505,"Row(_1='filesystems', _2=2)",1
506,"Row(_1='flutter', _2=-3)",3
507,"Row(_1='dart', _2=-3)",1
508,"Row(_1='device', _2=-3)",1
509,"Row(_1='spring-webflux', _2=0)",20
510,"Row(_1='intellij-idea', _2=0)",36
511,"Row(_1='uwp', _2=0)",10
512,"Row(_1='uwp-xaml', _2=0)",2
513,"Row(_1='validation', _2=1)",14
514,"Row(_1='mule', _2=1)",1
515,"Row(_1='dataweave', _2=1)",3
516,"Row(_1='asynchronous', _2=0)",35
517,"Row(_1='async-await', _2=0)",35
518,"Row(_1='python-asyncio', _2=0)",11
519,"Row(_1='event-loop', _2=0)",1
520,"Row(_1='android-togglebutton', _2=0)",1
521,"Row(_1='database', _2=0)",115
522,"Row(_1='sumoselect.js', _2=0)",1
523,"Row(_1='email', _2=0)",29
524,"Row(_1='react-fullstack', _2=0)",1
525,"Row(_1='c#', _2=-3)",15
526,"Row(_1='asp.net', _2=-3)",1
527,"Row(_1='laravel', _2=0)",203
528,"Row(_1='laravel-nova', _2=0)",2
529,"Row(_1='spring-security', _2=0)",13
530,"Row(_1='apex', _2=0)",6
531,"Row(_1='visualforce', _2=0)",1
532,"Row(_1='rest', _2=1)",13
533,"Row(_1='ibm-cloud', _2=1)",2
534,"Row(_1='ibm-cloud-infrastructure', _2=1)",1
535,"Row(_1='ims', _2=1)",1
536,"Row(_1='office-js', _2=0)",8
537,"Row(_1='flask-sqlalchemy', _2=1)",1
538,"Row(_1='flask-restful', _2=1)",1
539,"Row(_1='dom', _2=0)",19
540,"Row(_1='cookies', _2=0)",22
541,"Row(_1='ctf', _2=0)",1
542,"Row(_1='django-rest-framework', _2=0)",34
543,"Row(_1='oracle', _2=-1)",16
544,"Row(_1='oracle-apex', _2=-1)",1
545,"Row(_1='firebase', _2=0)",163
546,"Row(_1='sum', _2=0)",16
547,"Row(_1='digital-persona-sdk', _2=0)",1
548,"Row(_1='xlsx', _2=0)",6
549,"Row(_1='stored-procedures', _2=0)",18
550,"Row(_1='procedure', _2=0)",5
551,"Row(_1='jdbctemplate', _2=0)",4
552,"Row(_1='c++11', _2=-1)",2
553,"Row(_1='image-stitching', _2=-1)",1
554,"Row(_1='opencv4', _2=-1)",1
555,"Row(_1='opencv-stitching', _2=-1)",1
556,"Row(_1='winapi', _2=0)",19
557,"Row(_1='onedrive', _2=0)",4
558,"Row(_1='access-denied', _2=0)",1
559,"Row(_1='createfile', _2=0)",1
560,"Row(_1='stripe-payments', _2=0)",21
561,"Row(_1='payment', _2=0)",8
562,"Row(_1='payment-processing', _2=0)",1
563,"Row(_1='opayo', _2=0)",2
564,"Row(_1='None', _2=-1)",479
565,"Row(_1='http', _2=0)",53
566,"Row(_1='esp32', _2=0)",5
567,"Row(_1='excel-formula', _2=0)",29
568,"Row(_1='google-sheets-formula', _2=0)",20
569,"Row(_1='bash', _2=0)",117
570,"Row(_1='homebrew', _2=0)",12
571,"Row(_1='linuxbrew', _2=0)",1
572,"Row(_1='generics', _2=1)",6
573,"Row(_1='protocols', _2=1)",2
574,"Row(_1='unity3d', _2=0)",32
575,"Row(_1='list', _2=0)",119
576,"Row(_1='apache-zeppelin', _2=0)",1
577,"Row(_1='content-security-policy', _2=0)",3
578,"Row(_1='mongodb', _2=0)",180
579,"Row(_1='encryption', _2=0)",24
580,"Row(_1='angular8', _2=0)",6
581,"Row(_1='vscode-settings', _2=0)",8
582,"Row(_1='vscode-debugger', _2=0)",8
583,"Row(_1='performance', _2=0)",41
584,"Row(_1='jmeter', _2=0)",20
585,"Row(_1='asp.net', _2=1)",19
586,"Row(_1='entity-framework', _2=1)",10
587,"Row(_1='identityserver4', _2=1)",1
588,"Row(_1='c++', _2=-1)",40
589,"Row(_1='flutter-layout', _2=1)",6
590,"Row(_1='rbac', _2=0)",3
591,"Row(_1='xacml', _2=0)",1
592,"Row(_1='role-based-access-control', _2=0)",1
593,"Row(_1='node-modules', _2=0)",12
594,"Row(_1='angular11', _2=0)",4
595,"Row(_1='linked-list', _2=0)",13
596,"Row(_1='segmentation-fault', _2=0)",5
597,"Row(_1='singly-linked-list', _2=0)",3
598,"Row(_1='android-layout', _2=0)",14
599,"Row(_1='checkbox', _2=0)",7
600,"Row(_1='passwords', _2=0)",3
601,"Row(_1='android-contentprovider', _2=0)",3
602,"Row(_1='android-sharing', _2=0)",1
603,"Row(_1='ros', _2=1)",1
604,"Row(_1='svelte-3', _2=1)",3
605,"Row(_1='sveltekit', _2=1)",4
606,"Row(_1='tensorflow2.0', _2=0)",11
607,"Row(_1='object-detection-api', _2=0)",4
608,"Row(_1='cors', _2=1)",3
609,"Row(_1='twitter-bootstrap', _2=0)",24
610,"Row(_1='responsive-design', _2=0)",10
611,"Row(_1='media-queries', _2=0)",6
612,"Row(_1='bootstrap-5', _2=0)",18
613,"Row(_1='editor', _2=0)",4
614,"Row(_1='joomla3.0', _2=0)",2
615,"Row(_1='jce', _2=0)",1
616,"Row(_1='internationalization', _2=0)",8
617,"Row(_1='intl', _2=0)",1
618,"Row(_1='xcode', _2=0)",52
619,"Row(_1='ios15', _2=0)",8
620,"Row(_1='datepicker', _2=0)",13
621,"Row(_1='antd', _2=0)",12
622,"Row(_1='wordpress', _2=-2)",7
623,"Row(_1='pygame', _2=0)",25
624,"Row(_1='detection', _2=0)",2
625,"Row(_1='hit', _2=0)",1
626,"Row(_1='process', _2=-1)",1
627,"Row(_1='string', _2=0)",106
628,"Row(_1='arrays', _2=0)",278
629,"Row(_1='oop', _2=0)",35
630,"Row(_1='variables', _2=0)",21
631,"Row(_1='web-deployment', _2=0)",7
632,"Row(_1='mern', _2=0)",16
633,"Row(_1='pytorch', _2=0)",53
634,"Row(_1='automatic-differentiation', _2=0)",1
